Number,Profit,Margin,Sales,COGS,Total Expenses,Marketing,Inventory,ProductId,State,Market,Market Size,Product Type,Product,Type
1029,32,81,135,54,49,17,641,13,California,West,Major Market,Tea,Darjeeling,Regular
1030,-142,-31,169,200,111,66,2393,3,Texas,South,Major Market,Tea,Earl Grey,Regular
1031,31,43,43,0,12,0,602,4,Florida,East,Major Market,Tea,Green Tea,Regular
1032,18,35,58,23,17,6,843,5,Illinois,Central,Major Market,Coffee,Amaretto,Regular
1033,15,32,53,21,17,5,798,6,Missouri,Central,Small Market,Coffee,Columbian,Regular
1034,0,46,82,36,46,13,236,2,Texas,South,Major Market,Coffee,Decaf Irish Cream,Decaf
1035,37,201,345,144,164,131,874,8,California,West,Major Market,Espresso,Caffe Latte,Regular
1036,166,278,478,200,112,66,1095,9,Texas,South,Major Market,Espresso,Caffe Mocha,Regular
1037,136,204,345,141,68,45,764,10,California,West,Major Market,Espresso,Decaf Espresso,Decaf
1038,241,362,634,272,121,89,1616,11,Texas,South,Major Market,Espresso,Regular Espresso,Regular
1039,165,261,521,260,96,72,1715,12,New York,East,Major Market,Herbal Tea,Chamomile,Decaf
1040,-369,-271,37,271,135,102,4507,13,Illinois,Central,Major Market,Herbal Tea,Lemon,Decaf
1041,8,38,70,32,30,9,996,3,Florida,East,Major Market,Herbal Tea,Mint,Decaf
1042,11,64,115,51,53,19,396,4,Massachusetts,East,Major Market,Tea,Darjeeling,Regular
1043,24,68,118,50,44,16,397,5,California,West,Major Market,Tea,Earl Grey,Regular
1044,83,149,298,149,66,41,1245,6,Connecticut,East,Small Market,Tea,Green Tea,Regular
1045,-6,63,107,44,69,40,496,1,Florida,East,Major Market,Coffee,Amaretto,Regular
1046,4,65,112,47,61,15,456,2,Texas,South,Major Market,Coffee,Columbian,Regular
1047,22,41,69,28,19,7,816,8,Florida,East,Major Market,Coffee,Decaf Irish Cream,Decaf
1048,30,56,99,43,26,14,597,9,California,West,Major Market,Espresso,Caffe Latte,Regular
1049,9,26,44,18,17,5,478,11,New York,East,Major Market,Espresso,Caffe Mocha,Regular
1050,100,167,278,111,67,36,767,12,Texas,South,Major Market,Espresso,Decaf Espresso,Decaf
1051,105,164,282,118,59,36,636,13,California,West,Major Market,Espresso,Regular Espresso,Regular
1052,20,55,93,38,35,12,414,3,New York,East,Major Market,Herbal Tea,Chamomile,Decaf
1053,34,62,110,48,28,15,593,4,Oklahoma,South,Small Market,Herbal Tea,Lemon,Decaf
1054,18,74,133,59,56,22,377,5,Wisconsin,Central,Small Market,Herbal Tea,Mint,Decaf
1055,49,96,177,81,47,25,1046,6,California,West,Major Market,Tea,Darjeeling,Regular
1056,66,114,193,79,48,25,425,2,Texas,South,Major Market,Tea,Earl Grey,Regular
1057,79,140,232,92,61,30,1102,8,Ohio,Central,Major Market,Tea,Green Tea,Regular
1058,40,64,107,43,24,12,822,9,Texas,South,Major Market,Coffee,Amaretto,Regular
1059,41,78,125,47,37,14,371,11,Florida,East,Major Market,Coffee,Columbian,Regular
1060,24,59,99,40,35,12,443,12,California,West,Major Market,Coffee,Decaf Irish Cream,Decaf
1061,-3,75,128,53,78,48,597,13,California,West,Major Market,Espresso,Caffe Latte,Regular
1062,24,154,264,110,130,100,665,3,Florida,East,Major Market,Espresso,Caffe Mocha,Regular
1063,81,146,291,145,65,40,1304,8,Texas,South,Major Market,Espresso,Decaf Espresso,Decaf
1064,-10,56,95,39,66,36,517,9,Connecticut,East,Small Market,Espresso,Regular Espresso,Regular
1065,21,63,110,47,42,15,420,10,Colorado,Central,Major Market,Herbal Tea,Chamomile,Decaf
1066,12,64,115,51,52,19,419,11,Oregon,West,Small Market,Herbal Tea,Lemon,Decaf
1067,23,59,109,50,36,15,1051,12,Texas,South,Major Market,Herbal Tea,Mint,Decaf
1068,27,53,94,41,26,13,592,13,Massachusetts,East,Major Market,Tea,Darjeeling,Regular
1069,98,136,230,94,38,26,608,5,Texas,South,Major Market,Tea,Earl Grey,Regular
1070,31,79,131,52,48,17,668,6,Louisiana,South,Small Market,Tea,Green Tea,Regular
1071,139,185,312,127,46,35,1007,3,Missouri,Central,Small Market,Coffee,Amaretto,Regular
1072,111,152,256,104,41,29,952,1,Oklahoma,South,Small Market,Coffee,Columbian,Regular
1073,71,112,199,87,41,28,564,2,New York,East,Major Market,Coffee,Decaf Irish Cream,Decaf
1074,111,152,256,104,41,29,952,8,New Hampshire,East,Small Market,Espresso,Caffe Latte,Regular
1075,72,112,199,87,40,28,564,9,New York,East,Major Market,Espresso,Caffe Mocha,Regular
1076,139,185,312,127,46,35,1007,10,Wisconsin,Central,Small Market,Espresso,Decaf Espresso,Decaf
1077,99,136,230,94,37,26,608,11,Ohio,Central,Major Market,Espresso,Regular Espresso,Regular
1078,31,79,131,52,48,17,668,12,Massachusetts,East,Major Market,Herbal Tea,Chamomile,Decaf
1079,259,387,678,291,128,96,1742,5,Illinois,Central,Major Market,Herbal Tea,Lemon,Decaf
1080,168,266,532,266,98,74,1819,6,California,West,Major Market,Herbal Tea,Mint,Decaf
1081,150,222,376,154,72,49,833,3,California,West,Major Market,Tea,Darjeeling,Regular
1082,208,329,567,238,121,78,1190,2,Illinois,Central,Major Market,Tea,Earl Grey,Regular
1083,258,387,678,291,129,96,1742,8,New York,East,Major Market,Tea,Green Tea,Regular
1084,150,222,376,154,72,49,833,9,Missouri,Central,Small Market,Coffee,Amaretto,Regular
1085,167,266,532,266,99,74,1819,11,Iowa,Central,Small Market,Coffee,Columbian,Regular
1086,197,332,602,270,135,102,1834,12,New York,East,Major Market,Coffee,Decaf Irish Cream,Decaf
1087,13,29,49,20,16,5,808,5,California,West,Major Market,Espresso,Caffe Latte,Regular
1088,31,43,43,0,12,0,559,6,Missouri,Central,Small Market,Espresso,Caffe Mocha,Regular
1089,12,31,54,23,19,7,605,3,California,West,Major Market,Espresso,Decaf Espresso,Decaf
1090,17,36,61,25,19,7,854,1,Texas,South,Major Market,Espresso,Regular Espresso,Regular
1091,9,41,75,34,32,10,1010,2,Nevada,West,Small Market,Herbal Tea,Chamomile,Decaf
1092,-1,82,141,59,83,53,338,8,California,West,Major Market,Herbal Tea,Lemon,Decaf
1093,-12,49,169,120,61,37,1334,9,Illinois,Central,Major Market,Herbal Tea,Mint,Decaf
1094,17,59,103,44,42,14,258,11,Iowa,Central,Small Market,Tea,Darjeeling,Regular
1095,1,49,89,40,48,15,219,12,Texas,South,Major Market,Tea,Earl Grey,Regular
1096,0,46,82,36,46,13,252,13,California,West,Major Market,Tea,Green Tea,Regular
1097,32,52,87,35,20,9,894,5,Wisconsin,Central,Small Market,Coffee,Amaretto,Regular
1098,35,57,96,39,22,10,845,6,New York,East,Major Market,Coffee,Columbian,Regular
1099,32,72,132,60,40,18,1070,3,New York,East,Major Market,Coffee,Decaf Irish Cream,Decaf
1100,31,93,169,76,62,28,613,2,Colorado,Central,Major Market,Espresso,Caffe Latte,Regular
1101,9,26,44,18,17,5,486,8,Colorado,Central,Major Market,Espresso,Caffe Mocha,Regular
1102,16,34,57,23,18,6,868,9,Florida,East,Major Market,Espresso,Decaf Espresso,Decaf
1103,104,172,286,114,68,37,822,11,Ohio,Central,Major Market,Espresso,Regular Espresso,Regular
1104,128,195,336,141,67,43,692,12,Florida,East,Major Market,Herbal Tea,Chamomile,Decaf
1105,81,146,291,145,65,40,1304,5,California,West,Major Market,Herbal Tea,Lemon,Decaf
1106,11,64,115,51,53,19,419,6,Florida,East,Major Market,Herbal Tea,Mint,Decaf
1107,20,63,110,47,43,15,420,1,Illinois,Central,Major Market,Tea,Darjeeling,Regular
1108,18,51,85,34,33,10,432,2,Massachusetts,East,Major Market,Tea,Earl Grey,Regular
1109,-9,56,95,39,65,36,517,3,Nevada,West,Small Market,Tea,Green Tea,Regular
1110,29,65,104,39,36,12,380,8,Massachusetts,East,Major Market,Coffee,Amaretto,Regular
1111,58,85,144,59,27,16,870,9,Florida,East,Major Market,Coffee,Columbian,Regular
1112,21,54,90,36,33,11,462,11,Utah,West,Small Market,Coffee,Decaf Irish Cream,Decaf
1113,-6,66,113,47,72,42,622,12,California,West,Major Market,Espresso,Caffe Latte,Regular
1114,56,103,189,86,47,26,1081,5,Texas,South,Major Market,Espresso,Caffe Mocha,Regular
1115,36,65,115,50,29,16,587,6,Florida,East,Major Market,Espresso,Decaf Espresso,Decaf
1116,18,74,133,59,56,22,403,1,Illinois,Central,Major Market,Espresso,Regular Espresso,Regular
1117,32,173,297,124,141,112,717,2,Missouri,Central,Small Market,Herbal Tea,Chamomile,Decaf
1118,71,130,227,97,59,32,575,3,Texas,South,Major Market,Herbal Tea,Lemon,Decaf
1119,32,52,87,35,20,9,894,11,California,West,Major Market,Herbal Tea,Mint,Decaf
1120,15,31,51,20,16,5,814,13,Texas,South,Major Market,Tea,Darjeeling,Regular
1121,32,93,169,76,61,28,613,9,California,West,Major Market,Tea,Earl Grey,Regular
1122,33,72,132,60,39,18,1070,10,Texas,South,Major Market,Tea,Green Tea,Regular
1123,-5,66,113,47,71,42,622,5,New York,East,Major Market,Coffee,Amaretto,Regular
1124,16,57,100,43,41,14,388,6,Illinois,Central,Major Market,Coffee,Columbian,Regular
1125,75,135,225,90,60,29,1148,2,Florida,East,Major Market,Coffee,Decaf Irish Cream,Decaf
1126,41,65,110,45,24,12,885,11,Massachusetts,East,Major Market,Espresso,Caffe Latte,Regular
1127,58,85,144,59,27,16,870,13,California,West,Major Market,Espresso,Caffe Mocha,Regular
1128,36,65,115,50,29,16,587,8,Connecticut,East,Small Market,Espresso,Decaf Espresso,Decaf
1129,19,74,133,59,55,22,403,9,Florida,East,Major Market,Espresso,Regular Espresso,Regular
1130,55,103,189,86,48,26,1081,10,Texas,South,Major Market,Herbal Tea,Chamomile,Decaf
1131,32,173,297,124,141,112,717,5,Florida,East,Major Market,Herbal Tea,Lemon,Decaf
1132,71,130,227,97,59,32,575,6,California,West,Major Market,Herbal Tea,Mint,Decaf
1133,104,172,286,114,68,37,822,2,New York,East,Major Market,Tea,Darjeeling,Regular
1134,129,195,336,141,66,43,692,3,Texas,South,Major Market,Tea,Earl Grey,Regular
1135,16,34,57,23,18,6,868,11,California,West,Major Market,Tea,Green Tea,Regular
1136,9,26,44,18,17,5,486,13,New York,East,Major Market,Coffee,Amaretto,Regular
1137,11,64,115,51,53,19,419,9,Oklahoma,South,Small Market,Coffee,Columbian,Regular
1138,7,72,111,39,65,36,560,5,Wisconsin,Central,Small Market,Coffee,Decaf Irish Cream,Decaf
1139,81,146,291,145,65,40,1304,7,California,West,Major Market,Espresso,Caffe Latte,Regular
1140,564,613,665,52,49,17,-1493,2,Texas,South,Major Market,Espresso,Caffe Mocha,Regular
1141,17,36,61,25,19,7,854,11,Ohio,Central,Major Market,Espresso,Decaf Espresso,Decaf
1142,31,43,43,0,12,0,559,13,Texas,South,Major Market,Espresso,Regular Espresso,Regular
1143,0,46,82,36,46,13,252,9,Florida,East,Major Market,Herbal Tea,Chamomile,Decaf
1144,-1,82,141,59,83,53,338,5,California,West,Major Market,Herbal Tea,Lemon,Decaf
1145,0,49,89,40,49,15,219,7,California,West,Major Market,Herbal Tea,Mint,Decaf
1146,49,90,151,61,41,19,329,1,Florida,East,Major Market,Tea,Darjeeling,Regular
1147,43,96,160,64,53,21,467,2,Texas,South,Major Market,Tea,Earl Grey,Regular
1148,138,185,312,127,47,35,1007,11,Connecticut,East,Small Market,Tea,Green Tea,Regular
1149,111,152,256,104,41,29,952,12,Colorado,Central,Major Market,Coffee,Amaretto,Regular
1150,98,136,230,94,38,26,608,13,Oregon,West,Small Market,Coffee,Columbian,Regular
1151,388,523,793,270,135,102,1781,9,Texas,South,Major Market,Coffee,Decaf Irish Cream,Decaf
1152,-164,-62,198,260,102,80,3076,10,Massachusetts,East,Major Market,Espresso,Caffe Latte,Regular
1153,182,280,546,266,98,74,1355,7,Texas,South,Major Market,Espresso,Caffe Mocha,Regular
1154,-266,-85,77,162,181,147,2321,5,Connecticut,East,Small Market,Espresso,Decaf Espresso,Decaf
1155,370,548,912,364,178,127,2654,2,Washington,West,Small Market,Espresso,Regular Espresso,Regular
1156,58,85,144,59,27,16,870,3,California,West,Major Market,Herbal Tea,Chamomile,Decaf
1157,36,59,99,40,23,11,843,2,Texas,South,Major Market,Herbal Tea,Lemon,Decaf
1158,32,60,106,46,28,15,587,8,New York,East,Major Market,Herbal Tea,Mint,Decaf
1159,31,93,169,76,62,28,613,9,California,West,Major Market,Tea,Darjeeling,Regular
1160,-6,66,113,47,72,42,-395,4,Texas,South,Major Market,Tea,Earl Grey,Regular
1161,30,65,104,39,35,12,380,5,Ohio,Central,Major Market,Tea,Green Tea,Regular
1162,21,54,90,36,33,11,462,6,Illinois,Central,Major Market,Espresso,Caffe Latte,Regular
1163,-11,49,169,120,60,37,1334,3,Illinois,Central,Major Market,Espresso,Caffe Mocha,Decaf
1164,44,96,160,64,52,21,467,2,Louisiana,South,Small Market,Herbal Tea,Decaf Espresso,Regular
1165,17,36,61,25,19,7,854,8,Ohio,Central,Major Market,Herbal Tea,Regular Espresso,Decaf
1166,10,41,75,34,31,10,1010,9,Florida,East,Major Market,Herbal Tea,Chamomile,Decaf
1167,1,49,89,40,48,15,-258,4,Washington,West,Small Market,Tea,Lemon,Decaf
1168,-1,82,141,59,83,53,338,5,Texas,South,Major Market,Tea,Mint,Regular
1169,18,59,103,44,41,14,258,6,Wisconsin,Central,Small Market,Tea,Darjeeling,Regular
1170,16,34,57,23,18,6,868,3,Texas,South,Major Market,Coffee,Earl Grey,Regular
1171,28,53,94,41,25,13,592,2,Colorado,Central,Major Market,Coffee,Green Tea,Regular
1172,32,173,297,124,141,112,717,9,Florida,East,Major Market,Coffee,Amaretto,Regular
1173,19,74,133,59,55,22,403,8,Illinois,Central,Major Market,Espresso,Columbian,Decaf
1174,128,195,336,141,67,43,-942,4,California,West,Major Market,Espresso,Decaf Irish Cream,Regular
1175,9,26,44,18,17,5,486,5,Illinois,Central,Major Market,Espresso,Caffe Latte,Regular
1176,103,172,286,114,69,37,822,6,Missouri,Central,Small Market,Espresso,Caffe Mocha,Decaf
1177,71,112,199,87,41,28,564,3,New York,East,Major Market,Herbal Tea,Decaf Espresso,Regular
1178,206,307,567,260,101,80,1319,2,Louisiana,South,Small Market,Herbal Tea,Regular Espresso,Decaf
1179,19,51,85,34,32,10,432,9,Iowa,Central,Small Market,Herbal Tea,Chamomile,Decaf
1180,20,63,110,47,43,15,420,8,Florida,East,Major Market,Tea,Lemon,Decaf
1181,30,79,131,52,49,17,-456,4,California,West,Major Market,Tea,Mint,Regular
1182,112,152,256,104,40,29,952,5,Texas,South,Major Market,Tea,Darjeeling,Regular
1183,98,136,230,94,38,26,608,6,Ohio,Central,Major Market,Coffee,Amaretto,Regular
1184,32,72,132,60,40,18,1070,1,Louisiana,South,Small Market,Coffee,Columbian,Regular
1185,16,57,100,43,41,14,388,2,Massachusetts,East,Major Market,Coffee,Decaf Irish Cream,Decaf
1186,48,90,151,61,42,19,329,8,New York,East,Major Market,Espresso,Caffe Latte,Regular
1187,44,96,160,64,52,21,467,9,Massachusetts,East,Major Market,Espresso,Caffe Mocha,Decaf
1188,-12,49,169,120,61,37,1334,10,Florida,East,Major Market,Espresso,Decaf Espresso,Decaf
1189,0,82,141,59,82,53,338,11,Washington,West,Small Market,Espresso,Regular Espresso,Decaf
1190,17,59,103,44,42,14,258,12,Texas,South,Major Market,Herbal Tea,Chamomile,Regular
1191,1,49,89,40,48,15,219,13,Florida,East,Major Market,Herbal Tea,Lemon,Regular
1192,31,93,169,76,62,28,613,3,Oklahoma,South,Small Market,Herbal Tea,Mint,Regular
1193,36,57,96,39,21,10,845,4,Florida,East,Major Market,Tea,Darjeeling,Regular
1194,32,60,106,46,28,15,587,5,California,West,Major Market,Tea,Earl Grey,Regular
1195,31,52,87,35,21,9,894,6,Texas,South,Major Market,Tea,Green Tea,Decaf
1196,-138,-67,87,154,71,49,1832,1,Massachusetts,East,Major Market,Coffee,Amaretto,Regular
1197,370,548,912,364,178,127,2654,2,Wisconsin,Central,Small Market,Coffee,Columbian,Regular
1198,139,185,312,127,46,35,1007,8,California,West,Major Market,Coffee,Decaf Irish Cream,Decaf
1199,205,307,567,260,102,80,1319,9,Missouri,Central,Small Market,Espresso,Caffe Latte,Regular
1200,72,112,199,87,40,28,564,10,Ohio,Central,Major Market,Espresso,Caffe Mocha,Decaf
1201,112,152,256,104,40,29,952,11,Washington,West,Small Market,Espresso,Decaf Espresso,Decaf
1202,98,136,230,94,38,26,608,12,Texas,South,Major Market,Espresso,Regular Espresso,Decaf
1203,30,79,131,52,49,17,668,13,Texas,South,Major Market,Herbal Tea,Chamomile,Regular
1204,-157,-36,202,238,121,78,2797,3,Utah,West,Small Market,Coffee,Amaretto,Regular
1205,167,266,532,266,99,74,1819,4,Ohio,Central,Major Market,Coffee,Columbian,Regular
1206,45,225,387,162,180,147,943,5,Texas,South,Major Market,Coffee,Decaf Irish Cream,Decaf
1207,259,387,678,291,128,96,1742,6,Connecticut,East,Small Market,Espresso,Caffe Latte,Regular
1208,-1,46,82,36,47,13,252,2,Oregon,West,Small Market,Espresso,Caffe Mocha,Regular
1209,45,225,387,162,180,147,943,8,Louisiana,South,Small Market,Espresso,Decaf Espresso,Decaf
1210,208,329,567,238,121,78,1190,9,New Mexico,South,Small Market,Espresso,Regular Espresso,Regular
1211,150,222,376,154,72,49,833,10,Massachusetts,East,Major Market,Herbal Tea,Chamomile,Decaf
1212,258,387,678,291,129,96,1742,11,Washington,West,Small Market,Herbal Tea,Lemon,Decaf
1213,168,266,532,266,98,74,1819,12,California,West,Major Market,Herbal Tea,Mint,Decaf
1214,-378,-270,27,270,135,102,5230,13,Texas,South,Major Market,Tea,Darjeeling,Regular
1215,9,41,75,34,32,10,1010,3,Ohio,Central,Major Market,Tea,Earl Grey,Regular
1216,32,43,43,0,11,0,559,4,Iowa,Central,Small Market,Tea,Green Tea,Regular
1217,17,36,61,25,19,7,854,5,New York,East,Major Market,Coffee,Amaretto,Regular
1218,12,29,49,20,17,5,808,6,New York,East,Major Market,Coffee,Columbian,Regular
1219,-10,56,95,39,66,36,517,1,California,West,Major Market,Coffee,Decaf Irish Cream,Decaf
1220,0,55,94,39,55,12,478,2,Oregon,West,Small Market,Espresso,Caffe Latte,Regular
1221,24,44,74,30,20,8,829,8,California,West,Major Market,Espresso,Caffe Mocha,Regular
1222,27,53,94,41,26,13,592,9,Florida,East,Major Market,Espresso,Decaf Espresso,Decaf
1223,9,26,44,18,17,5,486,11,California,West,Major Market,Espresso,Regular Espresso,Regular
1224,104,172,286,114,68,37,822,12,Iowa,Central,Small Market,Herbal Tea,Chamomile,Decaf
1225,129,195,336,141,66,43,692,13,Ohio,Central,Major Market,Herbal Tea,Lemon,Decaf
1226,18,51,85,34,33,10,432,3,Missouri,Central,Small Market,Herbal Tea,Mint,Decaf
1227,12,64,115,51,52,19,419,4,Oklahoma,South,Small Market,Tea,Darjeeling,Regular
1228,20,63,110,47,43,15,420,5,New York,East,Major Market,Tea,Earl Grey,Regular
1229,81,146,291,145,65,40,1304,6,New Hampshire,East,Small Market,Tea,Green Tea,Regular
1230,75,135,225,90,60,29,1148,8,New York,East,Major Market,Coffee,Amaretto,Regular
1231,37,59,99,40,22,11,843,9,Wisconsin,Central,Small Market,Coffee,Columbian,Regular
1232,29,65,104,39,36,12,380,11,Ohio,Central,Major Market,Coffee,Decaf Irish Cream,Decaf
1233,20,54,90,36,34,11,462,12,Massachusetts,East,Major Market,Espresso,Caffe Latte,Regular
1234,-5,66,113,47,71,42,622,13,Illinois,Central,Major Market,Espresso,Caffe Mocha,Regular
1235,75,125,211,86,50,27,463,2,California,West,Major Market,Espresso,Decaf Espresso,Decaf
1236,31,173,297,124,142,112,717,3,California,West,Major Market,Espresso,Regular Espresso,Regular
1237,36,65,115,50,29,16,587,4,Illinois,Central,Major Market,Herbal Tea,Chamomile,Decaf
1238,18,74,133,59,56,22,403,5,New York,East,Major Market,Herbal Tea,Lemon,Decaf
1239,56,103,189,86,47,26,1081,6,Missouri,Central,Small Market,Herbal Tea,Mint,Decaf
1240,82,146,291,145,64,40,1292,8,Iowa,Central,Small Market,Tea,Darjeeling,Regular
1241,-10,52,89,37,62,33,513,9,New York,East,Major Market,Tea,Earl Grey,Regular
1242,20,62,108,46,42,15,415,10,California,West,Major Market,Tea,Green Tea,Regular
1243,9,60,109,49,51,18,414,11,Missouri,Central,Small Market,Coffee,Amaretto,Regular
1244,16,50,91,41,34,12,1046,12,California,West,Major Market,Coffee,Columbian,Regular
1245,53,87,155,68,34,22,587,13,Texas,South,Major Market,Coffee,Decaf Irish Cream,Decaf
1246,105,145,245,100,40,28,598,5,Nevada,West,Small Market,Espresso,Caffe Latte,Regular
1247,30,79,131,52,49,17,662,6,California,West,Major Market,Espresso,Caffe Mocha,Regular
1248,144,191,323,132,47,36,994,3,Illinois,Central,Major Market,Espresso,Decaf Espresso,Decaf
1249,133,178,301,123,45,34,941,1,Iowa,Central,Small Market,Espresso,Regular Espresso,Regular
1250,39,68,120,52,29,17,554,2,Texas,South,Major Market,Herbal Tea,Chamomile,Decaf
1251,132,178,301,123,46,34,941,8,California,West,Major Market,Herbal Tea,Lemon,Decaf
1252,39,68,120,52,29,17,554,9,Wisconsin,Central,Small Market,Herbal Tea,Mint,Decaf
1253,143,191,323,132,48,36,994,10,New York,East,Major Market,Tea,Darjeeling,Regular
1254,105,145,245,100,40,28,598,11,New York,East,Major Market,Tea,Earl Grey,Regular
1255,30,79,131,52,49,17,662,12,Colorado,Central,Major Market,Tea,Green Tea,Regular
1256,262,392,687,295,130,97,1714,5,Colorado,Central,Major Market,Coffee,Amaretto,Regular
1257,167,266,532,266,99,74,1797,6,Florida,East,Major Market,Coffee,Columbian,Regular
1258,150,222,376,154,72,49,817,3,Ohio,Central,Major Market,Coffee,Decaf Irish Cream,Decaf
1259,163,271,467,196,108,64,1167,2,Florida,East,Major Market,Espresso,Caffe Latte,Regular
1260,262,392,687,295,130,97,1714,8,California,West,Major Market,Espresso,Caffe Mocha,Regular
1261,151,222,376,154,71,49,817,9,Florida,East,Major Market,Espresso,Decaf Espresso,Decaf
1262,167,266,532,266,99,74,1797,11,Illinois,Central,Major Market,Espresso,Regular Espresso,Regular
1263,207,348,632,284,141,107,1809,12,Massachusetts,East,Major Market,Herbal Tea,Chamomile,Decaf
1264,18,35,58,23,17,6,806,5,Nevada,West,Small Market,Herbal Tea,Lemon,Decaf
1265,31,43,43,0,12,0,516,6,Massachusetts,East,Major Market,Herbal Tea,Mint,Decaf
1266,15,49,90,41,34,12,1007,2,Florida,East,Major Market,Tea,Darjeeling,Regular
1267,1,18,32,14,17,4,602,3,Utah,West,Small Market,Tea,Earl Grey,Regular
1268,19,38,63,25,19,7,851,1,California,West,Major Market,Tea,Green Tea,Regular
1269,2,88,151,63,86,57,332,8,Texas,South,Major Market,Coffee,Amaretto,Regular
1270,-41,19,139,120,60,37,1439,9,Florida,East,Major Market,Coffee,Columbian,Regular
1271,19,60,105,45,41,14,253,11,Illinois,Central,Major Market,Coffee,Decaf Irish Cream,Decaf
1272,-9,36,65,29,45,11,215,12,Missouri,Central,Small Market,Espresso,Caffe Latte,Regular
1273,1,48,86,38,47,14,248,13,Texas,South,Major Market,Espresso,Caffe Mocha,Regular
1274,29,49,83,34,20,9,890,5,California,West,Major Market,Espresso,Decaf Espresso,Decaf
1275,28,48,80,32,20,8,841,6,Texas,South,Major Market,Espresso,Regular Espresso,Regular
1276,27,88,160,72,61,27,606,2,California,West,Major Market,Herbal Tea,Chamomile,Decaf
1277,24,60,110,50,36,15,1064,3,Texas,South,Major Market,Herbal Tea,Lemon,Decaf
1278,9,25,41,16,16,4,484,8,New York,East,Major Market,Herbal Tea,Mint,Decaf
1279,16,33,55,22,17,6,865,9,Illinois,Central,Major Market,Tea,Darjeeling,Regular
1280,103,172,286,114,69,37,810,11,Florida,East,Major Market,Tea,Earl Grey,Regular
1281,103,161,277,116,58,35,678,12,Massachusetts,East,Major Market,Tea,Green Tea,Regular
1282,81,146,291,145,65,40,1292,5,California,West,Major Market,Coffee,Amaretto,Regular
1283,8,60,109,49,52,18,414,6,Connecticut,East,Small Market,Coffee,Columbian,Regular
1284,19,62,108,46,43,15,415,1,Florida,East,Major Market,Coffee,Decaf Irish Cream,Decaf
1285,19,51,85,34,32,10,428,2,Texas,South,Major Market,Espresso,Caffe Latte,Regular
1286,-11,52,89,37,63,33,513,3,Florida,East,Major Market,Espresso,Caffe Mocha,Regular
1287,41,79,126,47,38,14,366,8,California,West,Major Market,Espresso,Decaf Espresso,Decaf
1288,63,91,154,63,28,17,864,9,New York,East,Major Market,Espresso,Regular Espresso,Regular
1289,20,54,90,36,34,11,458,11,Texas,South,Major Market,Herbal Tea,Chamomile,Decaf
1290,-7,61,105,44,68,39,617,12,California,West,Major Market,Herbal Tea,Lemon,Decaf
1291,70,123,226,103,53,31,1073,5,New York,East,Major Market,Herbal Tea,Mint,Decaf
1292,18,39,69,30,21,9,581,6,Oklahoma,South,Small Market,Tea,Darjeeling,Regular
1293,21,77,140,63,56,23,397,1,Wisconsin,Central,Small Market,Tea,Earl Grey,Regular
1294,35,184,317,133,149,120,705,2,California,West,Major Market,Tea,Green Tea,Regular
1295,73,132,231,99,59,32,565,3,Texas,South,Major Market,Coffee,Amaretto,Regular
1296,28,49,83,34,21,9,890,11,Ohio,Central,Major Market,Coffee,Columbian,Regular
1297,12,28,47,19,16,5,811,13,Texas,South,Major Market,Coffee,Decaf Irish Cream,Decaf
1298,28,88,160,72,60,27,606,9,Florida,East,Major Market,Espresso,Caffe Latte,Regular
1299,24,60,110,50,36,15,1064,10,California,West,Major Market,Espresso,Caffe Mocha,Regular
1300,-8,61,105,44,69,39,617,5,California,West,Major Market,Espresso,Decaf Espresso,Decaf
1301,16,56,98,42,40,13,384,6,Florida,East,Major Market,Espresso,Regular Espresso,Regular
1302,75,135,225,90,60,29,1139,2,Texas,South,Major Market,Herbal Tea,Chamomile,Decaf
1303,44,68,114,46,24,12,880,11,Connecticut,East,Small Market,Herbal Tea,Lemon,Decaf
1304,63,91,154,63,28,17,864,13,Colorado,Central,Major Market,Herbal Tea,Mint,Decaf
1305,18,39,69,30,21,9,581,8,Oregon,West,Small Market,Tea,Darjeeling,Regular
1306,20,77,140,63,57,23,397,9,Texas,South,Major Market,Tea,Earl Grey,Regular
1307,70,123,226,103,53,31,1073,10,Massachusetts,East,Major Market,Tea,Green Tea,Regular
1308,35,184,317,133,149,120,705,5,Texas,South,Major Market,Coffee,Amaretto,Regular
1309,73,132,231,99,59,32,565,6,Louisiana,South,Small Market,Coffee,Columbian,Regular
1310,104,172,286,114,68,37,810,2,Missouri,Central,Small Market,Coffee,Decaf Irish Cream,Decaf
1311,102,161,277,116,59,35,678,3,Oklahoma,South,Small Market,Espresso,Caffe Latte,Regular
1312,16,33,55,22,17,6,865,11,New York,East,Major Market,Espresso,Caffe Mocha,Regular
1313,9,25,41,16,16,4,484,13,New Hampshire,East,Small Market,Espresso,Decaf Espresso,Decaf
1314,9,60,109,49,51,18,414,9,New York,East,Major Market,Espresso,Regular Espresso,Regular
1315,6,68,105,37,62,33,540,5,Wisconsin,Central,Small Market,Herbal Tea,Chamomile,Decaf
1316,82,146,291,145,64,40,1292,7,Ohio,Central,Major Market,Herbal Tea,Lemon,Decaf
1317,563,612,664,52,49,17,-2033,2,Massachusetts,East,Major Market,Herbal Tea,Mint,Decaf
1318,20,38,63,25,18,7,851,11,Illinois,Central,Major Market,Tea,Darjeeling,Regular
1319,31,43,43,0,12,0,516,13,California,West,Major Market,Tea,Earl Grey,Regular
